"en","zh","ja"
"Kärpässieni","卡帕西恩尼","カラパッシエニ"
"Kasvoton_Hämähäkki","卡斯沃顿哈玛哈奇","カスヴォトン・ハマハッキ"
"Kasvoton_Lukki","卡斯沃顿路奇","カスヴォトン・ルッキ"
"Kauhuhirviö","咖乌胡伊维欧","カウフヒルヴィオ"
"Key_shot","Key_shot","キーショット"
"Kiekurakeppi","奇耶库拉克皮","キエクラケッピ"
"Kills_to_mana","化尸为魔","キルからマナへ"
"Kilpihiisi","凯尔皮希斯","キルピヒーシ"
"Kirottu_kristalli","奇洛托克里斯塔利","キロッツ・クリスターリ"
"Kiuaskivi",,
"Kiukkukalma","奇欧库卡尔玛","キウックカルマ"
"Kiukkumöykky","久库墨库","キウックモイッキ"
"KK-Tankki","KK-汤齐","KK-タンッキ"
"Knockback","击退","ノックバック"
"Knockback_Immunity","击退免疫","ノックバックに対する免疫"
"Kohdennusmestari","科登努斯梅斯塔利","コフデンヌスメスタリ"
"Kokkihiisi","科齐席西","コッキヒーシ"
"Kolmisilmä","科尔密斯尔玛","コルミシルマ"
"Kolmisilmän_apuri","三眼阿波里","コルミシルマン・アプリ"
"Kolmisilmän_kätyri","三眼噶杜里","コルミシルマン・カトゥーリ"
"Kolmisilmän_koipi","三眼科伊比","コルミシルマン・コイピ"
"Kolmisilmän_silmä","三眼斯尔玛","コルミシルマン・シルマ"
"Konna","空纳","コンナ"
"Korjauslennokki","科利亚乌斯勒恩诺奇","コルヤウスレンノッキ"
"Kranuhiisi","克兰西系","クラヌヒーシ"
"Kuihduttajamestari","奎胡都塔雅梅斯塔利","クィードゥッタヤメスタリ"
"Kummitus","古迷图斯","クッミタス"
"Kuu",,
"Kuulokivi","库罗基维","クーロキヴィ"
"Kyrmyniska","凯米尼斯卡","クルミニスカ"
"Laahustussieni","拉阿胡斯图斯恩尼","ラーフスツッシエニ"
"Lake","湖泊","湖"
"Lammas","拉马斯","ランマス"
"Large_explosive_box","大号炸药箱","爆発物の箱(大)"
"Large_extra_max_HP","大幅追加生命值上限","大きな追加の最大HP"
"Large_firebolt","大型火焰弹","大きなファイヤーボルト"
"Large_magic_missile","大型魔法飞弹","大きな魔法のミサイル"
"Large_spitter_bolt","大型分裂弹","大きなスピッターボルト"
"Large_spitter_bolt_with_timer","带有定时的大型分裂弹","タイマー付きの大きなスピッターボルト"
"Larpa_Bounce","拉帕弹跳","幼生バウンド"
"Larpa_Explosion","拉帕爆炸","幼生爆発"
"Laser_bounce","激光弹跳","レーザーバウンド"
"Laser-tankki","拉萨尔塔尼基","レーザー・タンッキ"
"Laserkanuuna","拉瑟尔坎乌纳","レーザーカヌーナ"
"lava","岩浆","溶岩"
"Lava_to_blood","熔岩化血","溶岩から血へ"
"Leggy_Mutation","乐奇突变","レギー変異"
"Lennokki","勒诺基","レノッキ"
"Lentolammas","勒恩托勒马斯","レントランマス"
"Lepakko","勒巴可","レパッコ"
"LEVITATION_projectile","漂浮投射物","空中浮遊の放射物"
"Levitation_Trail","漂浮轨迹","空中浮遊痕跡"
"levitatium","漂浮基质","レビテチアム"
"Liekkari","利耶卡里","リエッカリ"
"Liekkiö","利耶奇约","リエッコ"
"Light","光","ライト"
"Light_shot","轻巧魔弹","ライトショット"
"Lightly-cooked_meat","微熟的肉","少し調理された肉"
"Lightning_bolt","闪电弹","稲妻ボルト"
"Lightning_thrower","闪电发射器","稲妻スローワー"
"Liimahiisi","利伊马席西","リーマヒーシ"
"Limanuljaska","利马努利亚斯卡","リマヌルヤスカ"
"Limatoukka","利马托乌卡","リマトウッカ"
"Linear_arc","线性弧","線形アーク"
"Liquid_Detonation","液体引爆","液体爆発"
"liquid_fire","液体燃烧剂","液火"
"Liquid_Movement","液体移动","液体移動"
"Liquid_Vacuum_Field","液体真空场","液体真空フィールド"
"lively_concoction","活泼混合物","活発な調合"
"Lively_powder","活泼粉尘","活発な粉末"
"Living_on_the_Edge","刀尖舔血","ギリギリ人生"
"Lohkare","罗霍卡列","ロウカレ"
"Long-distance_cast","远距离施放","遠距離詠唱"
"Low_Gravity","低重力","低重力"
"Low_Recoil","低后座力","低反動"
"Lukki","路奇","ルッキ"
"Lukki_lair","路奇巢穴","ルッキの隠れ家"
"Lukki_Minion","路奇仆从","ルッキの手下"
"Lukki_Mutation","路奇突变","ルッキ変異"
"Luminous_drill","光明穿凿","光線ドリル"
"Luminous_drill_with_timer","带有定时的光明穿凿","タイマー付きの光線ドリル"
"lush_ground","葱郁地面","豊かな地面"
"Maadoittajamestari","玛多以塔梅斯塔里","マードイッタヤメスタリ"
"Maamiina","马阿米娜","マーミーナ"
"Magic_arrow","魔法箭","魔法の矢"
"Magic_arrow_with_timer","带有定时的魔法箭","タイマー付きの魔法の矢"
"Magic_arrow_with_trigger","带有触发的魔法箭","トリガー付きの魔法の矢"
"Magic_bolt","魔法弹","魔法のボルト"
"Magic_bolt_with_timer","带有定时的魔法弹","タイマー付きの魔法のボルト"
"Magic_bolt_with_trigger","带有触发的魔法弹","トリガー付きの魔法のボルト"
"magic_gate","魔法门","魔法の門"
"Magic_guard","魔法护卫","魔法防御"
"Magic_missile","魔法飞弹","魔法のミサイル"
"magic_wall","魔法墙","魔法の壁"
"Magical_crystal","魔法晶体","魔法のクリスタル"
"Magical_Explosion","魔法爆炸","魔法の爆破"
"magical_liquid","魔法液体","魔法の液体"
"magical_temple","魔法神殿","魔法の神殿"
"Magnesia","苦土","マグネシア"
"Magnum_Opus","巨著","マグヌム・オプス"
"Mämmi","莫米","マンミ"
"Mana","法力","マナ"
"Mana_Discount","法力折扣","マナ割引"
"Mana_To_Damage","法力转伤害","マナからダメージ"
"Märkiäinen","马尔奇艾伊能","マルキエイネン"
"Marraskone","马拉斯孔","マラスコネ"
"Master_Symbol_Crypt","宗师符号地穴","マスターシンボルの穴蔵"
"Mätänevä_kroppa","玛旦涅瓦科罗帕","マタネヴァ・クロッパ"
"Mätänevä_pää","玛旦涅瓦巴阿","マタネヴァ・パー"
"Mätänevä_ruumis","玛旦涅瓦鲁米斯","マタネヴァ・ルーミス"
"Matkija","玛特奇亚","マットキヤ"
"Mato","玛朵","マト"
"Matosade",,
"Matter_eater","物质吞噬者","物質イーター"
"meat","肉","肉"
"Meat_of_an_innocent_creature","无辜生命的肉","無害な生物の肉"
"Meat_to_Power","肉变力量","肉からパワーへ"
"Melee_Immunity","近战免疫","近接攻撃に対する免疫"
"Melting_Corpses","融尸","溶ける死体"
"Mestarien_mestari","梅斯塔里恩梅斯塔利","メスタリエン・メスタリ"
"metal","金属","鉄"
"Metal_dust","金属尘埃","鉄の粉"
"metal_pipe","钢管","鉄パイプ"
"Meteor","陨石","隕石"
"Meteorisade",,
"meteorite","陨石","隕石"
"Miina","米伊纳","ミーナ"
"Miinankylväjä","米兰古尔外亚","ミーナンキラヴァヤ"
"Minä","米纳","ミナ"
"mines","矿场","鉱山"
"Misfire","哑火","不発"
"Misfire_(critical)","哑火（严重）","不発(クリティカル)"
"Missing_Key","丢失的钥匙","行方不明のキー"
"mist_of_spirits","烈酒云雾","魂のミスト"
"Mods","模组","MOD"
"Mokke","莫克","モッケ"
"Molari","莫拉里","モラリ"
"Mold","霉","モールド"
"molten_aluminium","熔化铝液","溶解アルミニウム"
"molten_brass","熔化黄铜水","溶解真ちゅう"
"molten_copper","熔化铜水","溶解銅"
"molten_glass","熔融玻璃","溶解ガラス"
"molten_gold","熔化金液","溶解ゴールド"
"molten_metal","熔化金属","溶解金属"
"molten_plastic","熔融塑料","溶解プラスチック"
"molten_silver","熔化银汁","溶解シルバー"
"molten_steel","熔化钢水","溶解鋼"
"molten_wax","熔化蜡油","溶解ワックス"
"Monstrous_powder","怪异粉尘","怪物粉末"
"Moon_Radar","月之雷达","月のレーダー"
"More_Blood","更多血液","更なる血"
"More_Hatred","更多仇恨","更なる憎しみ"
"More_Love","更多爱","更なる愛"
"More_Worm_Digging","更强蠕虫挖掘力","蠕虫の掘削拡大"
"moss","苔藓","苔"
"mossy_brickwork","苔砖块","苔むしたレンガ"
"mossy_steel","苔钢","苔むした鋼"
"Mournful_Spirit","哀伤灵魂","悲しげなスピリッツ"
"Möykky","墨古","モイッキ"
"Mu","谬","ミュー"
"mud","淤泥","泥"
"Mulkkio","穆尔基奥","ムルッキオ"
"Multiplied_HP,_No_Healing","生命加倍，无法治疗","HP倍増、回復なし"
"Munkki","木恩奇","マンッキ"
"Muodonmuutosmestari","墨东姆托梅斯塔利","ムオドンムートスメスタリ"
"Murkku","默尔库","ムルック"
"Musings_of_an_Adventurer","一名探险者的沉思","冒険の黙想"
"Myriad_Spell","无尽法术","無数の呪文"
"Myrkkyhiisi","木尔克西系","ミルッキヒーシ"
"Myrkkynääpikkä","木科纳皮卡","ムルックナーピッカ"
"Mysterious_Gate","神秘之门","謎の門"
"Mystery_Egg","神秘的蛋","謎の卵"
"Mystery_Eggplant","神秘的茄子","謎のナスビ"
"Mystery_fungus","神秘真菌","謎のキノコ"
"Nahkiainen","纳西奇亚嫩","ナーキアイネン"
"Nauseating_gas","恶心气体","吐き気ガス"
"Necromancy","死灵之术","黒魔術"
"Nelikoipi","内利科伊比","ネリコイピ"
"neon_tube","霓虹灯","ネオンチューブ"
"nest","巢穴","巣"
"Never_Skip_Leg_Day","周一永不略过","下半身トレをさぼるな"
"New_Game","新游戏","新規ゲーム"
"New_Game+_(experimental)","新游戏+（实验性）","新規ゲーム+_(実験的機能)"
"Nightmare","噩梦","ナイトメア"
"No_Damage_Flash","无伤害闪烁","肉破損無し"
"No_More_Knockback","不再击退","ノックバック無し"
"No_More_Shuffle","不再乱序","シャッフル無し"
"No_Wand_Tinkering","魔杖无法修补","杖工作なし"
"Nolla","零时","ノッラ"
"Notes_on_Grand_Alchemy","关于伟大炼金术的笔记","大錬金術についてのメモ"
"Nuijamalikka","努伊亚马利卡","ヌイヤマリッカ"
"Nuke","核弹","核爆弾"
"Nuke_Orbit","核弹环绕","核爆弾の軌道"
"Nullifying_Altar","无效化祭坛","取り消しの祭壇"
"Octagonal_bolt_bundle","八角形集束魔弹","八角ボルトバンドル"
"Octuple_spell","八倍法术","8倍呪文"
"Odd_brickwork","奇特的砖块","不規則なレンガ"
"Odd_Firebolt","怪异火焰弹","奇妙なファイヤーボルト"
"oil","油","オイル"
"Oil_Blood","油脂血液","オイルの血"
"Oil_cloud","油脂之云","オイルの雲"
"Oil_freeze","油污冻结","オイル凍結"
"Oil_trail","油液轨迹","オイルの痕跡"
"Olematon","奥列马吞","オレマトン"
"Omega","终结","オメガ"
"Omega_Black_Hole","终结黑洞","オメガブラックホール"
"Ominous_liquid","不祥液体","不吉な液体"
"Orange_Glimmer","橙色闪光","オレンジの光"
"Orb","魔球","オーブ"
"Orb_room","魔球房间","オーブの部屋"
"Orbit_Larpa","环绕拉帕","幼生の軌道"
"Orbiting_Arc","盘旋魔弹","軌道ショット"
"Our_Blessed_Stone","祝福之石","祝福されし石"
"Our_Matter","吾等之事","我々の課題"
"Overgrown_cavern","繁茂洞穴","生い茂った洞窟"
"Pacifist","和平主义者","平和主義者"
"packed_snow","压实的雪","詰まった雪"
"Paha_Silmä","巴汗斯尔玛","パハ・シルマ"
"Pahan_muisto","巴汗穆伊斯托","パハン・ムイスト"
"Pakkasukko","帕卡苏可","パッカスウッコ"
"Palauttajamestari","帕拉乌塔加梅斯塔利","パラウッタヤメスタリ"
"Parantajahiisi","巴伦它亚西系","パランタヤヒーシ"
"Pata","帕塔","パタ"
"Path_of_dark_flame","黑焰之道","闇の炎の道"
"Patsas","巴特萨斯","パットサス"
"pea_soup","豌豆汤","マメのスープ"
"Pea_soup_concentrate","豌豆汤萃取物","マメのスープの濃縮物"
"Peace_with_Gods","与神同在","神々との平和"
"Peat","泥炭","ピート"
"Peitsivartija","佩伊茨伊哇提加","パイトシヴァルティーヤ"
"Penetrate_walls","穿墙","壁貫通"
"Perk_Lottery","特性博彩","特典くじ"
"Perk_reroll","特性重新生成","特典リロール"
"Perks","特性","特典"
"Permanence_Altar","永久化祭坛","永久の祭壇"
"Permanent_Shield","永久护盾","永久シールド"
"Personal_fireball_thrower","专属火球发射器","パーソナル火の玉スローワー"
"Personal_gravity_field","专属重力领域","パーソナル重力フィールド"
"Personal_lightning_caster","专属闪电投射器","パーソナル稲妻キャスター"
"Personal_Plasma_Beam","专属激光束","パーソナルなレーザービーム"
"Personal_Plasma_Beam","专属电浆束","パーソナルなプラズマビーム"
"Personal_Raincloud","专属雨云","パーソナルな雨雲"
"Personal_tentacler","专属触手怪","パーソナル触覚発生器"
"Persuasion","说服","説得力"
"Petrify","石化","石化"
"Phasing","相位穿越","フェージング"
"Phasing_Arc","相位弧度","フェージングアーク"
"pheromone","费洛蒙","フェロモン"
"Phi","斐","ファイ"
"Philosopher's_Stone","贤者之石","賢者の石"
"Pienkätyri","皮焉噶杜里","ピペンクティリ"
"Piercing_shot","穿刺魔弹","貫通ショット"
"Pikkuhämähäkki","皮库哈玛哈奇","ピックハマハッキ"
"Pikkumato","皮库玛朵","ピｋックマト"
"Pikkutulikärpänen","皮库督利卡勒班嫩","ピックツリカルパネン"
"Pikkuturso","皮库图尔索","ピックツールソ"
"Pimeä_Aurinko","皮梅阿奥林戈","ピメア・アウリンコ"
"Pimeys","皮梅斯","ピムース"
"Ping-pong_path","乒乓回弹","ピンポン軌道"
"Pinpoint_of_light","汇聚之光","ピンポイントライト"
"Pinpointer","汇聚器","ピンポインター"
"Plague_Rats","瘟疫鼠群","疫病ネズミ"
"plant_material","植物材料","植物の素材"
"plant_seed","植物种子","植物の種"
"Plasma_beam","激光束","レーザービーム"
"Plasma_Beam_Bounce","电浆束弹跳","プラズマビームバウンド"
"Plasma_Beam_Cross","电浆束十字","プラズマビームの十字架"
"Plasma_Beam_Enhancer","电浆束增强器","強化プラズマビーム"
"Plasma_Beam_Orbit","电浆束环绕","プラズマビームの軌道"
"Plasma_Beam_Thrower","电浆束发射器","プラズマビームスローワー"
"Plasma_beam_X","激光束_X","レーザービームX"
"Plasma_Cutter","电浆切割器","プラズマカッター"
"Plasma_flare","电浆闪光","プラズマフレア"
"Plasma_show","激光束表演","レーザービームショー"
"Plasmakukka","普拉兹玛库卡","パラスマクッカ"
"plastic","塑料","プラスチック"
"Poison","毒液","毒"
"Poison_Arc","毒液弧","猛毒アーク"
"poison_gas","毒气","有毒ガス"
"Poison_trail","毒素轨迹","毒の痕跡"
"poisonous_rock","有毒岩石","毒の岩"
"Pollen","花粉","花粉"
"Poltergeist","骚灵","ポルターガイスト"
"Polymorph_charge","变形放射","多形体チャージ"
"polymorphine","变形魔药","多形性型"
"Poro","颇罗","ポロ"
"Potion","魔药","ポーション"
"Powder_pouch","粉末口袋","粉末ポーチ"
"Powder_Vacuum_Field","粉末真空场","粉末真空フィールド"
"Power_plant","发电站","発電所"
"Powerful_Minions","强力的仆从","強力な手下"
"pressurized_wood","耐压木材","加圧された木材"
"Prickly_Spore_Pod","多刺孢子荚","トゲトゲ胞子"
"Projectile_Area_Teleport","投射物区域传送","放射物エリアテレポート"
"Projectile_duplication","投射物复制","放射物重複"
"Projectile_Eater","投射物吞噬者","放射物イーター"
"Projectile_energy_shield","投射物能量盾","放射物エネルギーシールド"
"Projectile_Fan","投射物风扇","放射物の扇"
"Projectile_gravity_field","投射物重力领域","放射物重力フィールド"
"Projectile_Repulsion_Field","投射物排斥领域","放射物反発フィールド"
"Projectile_Repulsion_Sector","投射物排斥区域","放射物反発セクター"
"Projectile_Slower","投射物缓速者","放射物減速"
"Projectile_thunder_field","投射物雷电领域","放射物雷フィールド"
"Projectile_transmutation_field","投射物转化领域","放射物変異フィールド"
"Propane_tank","丙烷罐","プロパンタンク"
"Purifying_powder","净化粉末","浄化粉末"
"purple_crystal","紫色晶体","紫のクリスタル"
"Purple_Glimmer","紫色闪光","紫の光"
"Puska","布什卡","プスカ"
"Pyramid","金字塔","ピラミッド"
"Pysäyttäjä","帕萨塔亚","プセウッタヤ"
"Quadruple_scatter_spell","四重散射法术","4倍スキャター呪文"
"Quadruple_spell","四重法术","4倍呪文"
"Quantum_Split","量子分割","量子分裂"
"Rage-fueled_Levitation","愤怒漂浮","怒り任せの空中浮遊"
"Rain_cloud","雨云","雨雲"
"Rainbow","彩虹","虹"
"Rainbow_Glimmer","彩虹闪光","虹色の光"
"Rainbow_trail","彩虹轨迹","虹の痕跡"
"Random_Allies","随机盟友","ランダム仲間"
"Random_damage","随机伤害","ランダムダメージ"
"Random_modifier_spell","随机修正法术","ランダム状態変化呪文"
"Random_projectile_spell","随机投射物法术","ランダム放射物呪文"
"Random_spell","随机法术","ランダム呪文"
"Random_static_projectile_spell","随机静态投射物法术","ランダム静的放射物呪文"
"Randomize_Spells","随机法术","呪文のランダム化"
"Ratty_powder","老鼠粉尘","ネズミ粉末"
"Raukka","拉乌卡","ラウッカ"
"Rautalukki","拉乌塔路奇","ラウタルッキ"
"Recoil","后座力","反動"
"Recoil_Damper","后座阻尼器","反動緩衝器"
"Red_Glimmer","红色闪光","赤い光"
"Red_Lion","赤狮","赤いライオン"
"Reduce_lifetime","缩减存在时间","寿命減少"
"Reduce_recharge_time","缩减充能时间","リチャージ時間減少"
"Reduce_spread","降低散射","拡散減少"
"Refreshing_gourd","刷新胡瓜","清涼瓢箪"
"Refreshing_gourd","刷新胡瓜","清涼瓢箪"
"Remove_Bounce","移除弹跳","バウンド排除"
"Remove_Explosion","移除爆炸","爆破解除"
"Remove_Worm_&_Lukki_Digging","移除蠕虫与路奇挖掘力","蠕虫とルッキの掘削阻止"
"Repelling_Cape","驱散斗篷","反発マント"
"Requirement_-_Endpoint","要求_-_终点","必須_-_エンドポイント"
"Requirement_-_Enemies","要求_-_敌人数量","必須_-_敵"
"Requirement_-_Every_Other","要求_-_每次","必須_-_一回おき"
"Requirement_-_Low_Health","要求_-_生命值低下","必須_-_低いHP"
"Requirement_-_Otherwise","要求_-_否则","必須_-_その他"
"Requirement_-_Projectile_Spells","要求_-_投射物法术数量","必須_-_放射物の呪文"
"Research_Notes","发行说明","研究メモ"
"Return","返回","戻る"
"Reveal_Secrets","揭晓秘密","秘密暴露"
"Revenge_bullets","复仇子弹","復讐弾丸"
"Revenge_Explosion","以爆易暴","復讐爆破"
"Revenge_Rats","复仇鼠群","復讐のネズミ"
"Revenge_Tentacle","复仇触手","復讐触覚"
"Rihmasto","利马斯托","リーマスト"
"Riimusauva","利伊木索瓦","リームサウヴァ"
"Ring_of_Knives","刀之环","ナイフの輪"
"Robottikyttä","洛波提古塔","ロボッティキッタ"
"rock","岩石","岩"
"Roll_Again","再次抽选","もう一回"
"Rotate_towards_foes","转向敌人","敵へ方向転換"
"Rotta","洛塔","ロッタ"
"rotten_meat","腐肉","腐った肉"
"Ruby","红宝石","ルビー"
"Ruined_brick_wall","残破砖墙","レンガの壁跡"
"Runestone_of_edges","刃之符石","切っ先のルーンストーン"
"Runestone_of_emptiness","空之符石","虚無のルーンストーン"
"Runestone_of_fire","火之符石","炎のルーンストーン"
"Runestone_of_light","光之符石","ライトのルーンストーン"
"Runestone_of_magma","岩浆之符石","マグマのルーンストーン"
"Runestone_of_Metal","金属之符石","鉄のルーンストーン"
"Runestone_of_weight","重之符石","重量のルーンストーン"
"rusted_metal","锈蚀金属","錆びた金属"
"rusted_steel","锈蚀的钢","錆びた鋼"
"rusty_ground","锈蚀地面","赤茶けた地面"
"rusty_moss","锈色苔藓","赤茶けた苔"
"Ruttorotta","鲁托罗塔","ルットロッタ"
"Ruusu","鲁苏","ルース"
"Rynkkyhiisi","伦克西系","リンッキヒーシ"
"Sädekivi","萨德祈唯","サデキヴィ"
"Sähikäinen","萨希该能","サヒカイネン"
"Sähikäismenninkäinen","萨伊卡斯门尼凯能","サヒカイスメンニンカイネン"
"Sähkiö","萨贺齐奥","サフキオ"
"Salamurhaajarobotti","萨拉木勒哈雅罗波提","サラムラハーヤロボッティ"
"salt","盐","塩"
"Sampo","桑普","サンポ"
"Sanctuary","庇护所","聖域"
"sand","砂","砂"
"Sandcave","砂之洞穴","砂の洞窟"
"sandstone","砂岩","砂の石"
"Sappitatti","萨皮塔提","サッピタッティ"
"Sätkymestari","口吃大师","セアトキュメスタリ"
"Sauvan_Ydin","索凡伊丁","サウヴァン・ウディン"
"Sauvojen_tuntija",,
"Saving_Grace","死里逃生","救い"
"Sawblade_Orbit","锯刃环绕","鋸刃の軌道"
"Sea_of_acid","酸液之海","酸の海"
"Sea_of_alcohol","酒精之海","アルコールの海"
"Sea_of_flammable_gas","可燃气体之海","引火性ガスの海"
"Sea_of_lava","岩浆之海","溶岩の海"
"Sea_of_oil","油脂之海","オイルの海"
"Sea_of_water","水之海","水の海"
"Secret_Shop","秘密商店","秘密の店"
"Secrets","秘密","秘密"
"seed","种子","種"
"Seula","瑟乌拉","スーラ"
"Sheep","绵羊","ヒツジ"
"Shiny_orb","闪耀魔球","キラキラオーブ"
"shoots_debug_material","shoots_debug_material","デバグ素材を放つ"
"shoots_liquid","shoots_liquid","液体を放つ"
"Short-range_Homing","短距离追踪","近距離ホーミング誘導"
"Shortlived_spell","短暂法术","短命呪文"
"Shuffle_Wands","乱序魔杖","シャッフル杖"
"Sigma","西格玛","シグマ"
"Siirtäjämestari","西尔塔亚梅斯塔利","シータヤメスタリ"
"silver","银","シルバー"
"Sima","硅镁层","シマ"
"Skorpioni","斯柯皮欧尼","スコルピオーニ"
"Skoude","司寇德","スコウド"
"Skull","颅骨","スカル"
"Slicky_Slime","滑溜粘液","滑らかスライム"
"slime","粘液","スライム"
"Slime_arc","粘液弧","スライムのアーク"
"Slime_Blood","粘稠血液","スライムの血"
"slime_mist","粘液雾","スライムミスト"
"Slimeball","粘液球","スライムボール"
"Slimy_cursed_meat","发黏的诅咒肉块","呪われたベトベトな肉"
"Slimy_egg","发黏的蛋","ベトベトな卵"
"slimy_meat","发黏的肉","ベトベトな肉"
"Slithering_path","蛇行","クネクネ軌道"
"Slow_But_Steady","缓慢但坚定","ゆっくりでも安定"
"Slush","烂泥","融雪"
"Small_Teleport_Bolt","小传送魔弹","小型テレポートボルト"
"Smelly_vapour","臭臭的蒸汽","悪臭を放つ気化ガス"
"smoke","烟","煙"
"smoking_steel","冒烟的钢","煙たい鋼"
"Snipuhiisi","斯尼普西系","スニプヒーシ"
"snow","雪","雪"
"Snowy_Chasm","积雪峡谷","雪の裂け目"
"Snowy_Depths","积雪深渊","雪のどん底"
"snowy_wasteland","落雪荒原","雪の荒地"
"sodium","钠","ソディウム"
"soil","泥土","土"
"Sokaisunmestari","索凯伊苏恩梅斯塔利","ソカイスンメスタリ"
"spark","火花","スパーク"
"Spark_bolt","火花弹","スパークボルト"
"Spark_bolt_with_double_trigger","带有双重触发的火花弹","ダブルトリガー付きのスパークボルト"
"Spark_bolt_with_timer","带有定时的火花弹","タイマー付きのスパークボルト"
"Spark_bolt_with_trigger","带有触发的火花弹","トリガー付きのスパークボルト"
"Spatial_Awareness","空间感知","空間認識"
"Speed_Up","加速","スピードアップ"
"Spell_duplication","法术复制","呪文重複"
"Spell_Fan","法术风扇","呪文ファン"
"Spell_Lab","法术实验室","呪文ラボ"
"Spells","法术","呪文"
"Spells_to_acid","酸液置换术","呪文から酸へ"
"Spells_to_black_holes","黑洞置换术","呪文からブラックホールへ"
"Spells_to_death_crosses","死亡十字置换术","呪文から死の十字架へ"
"Spells_to_giga_sawblades","巨型锯刃置换术","呪文からギガ鋸刃へ"
"Spells_to_magic_missiles","魔法飞弹置换术","呪文から魔法のミサイルへ"
"Spells_to_nukes","核弹置换术","呪文から核爆弾へ"
"Spells_to_Power","法术变力量","呪文からエネルギーへ"
"spider_blood","蜘蛛血液","クモの血"
"spider_meat","蜘蛛肉","クモの肉"
"Spiraalikalma","斯皮拉利卡尔玛","スピラーリカルマ"
"Spiral_Arc","螺旋魔弹","スパイラルショット"
"Spiral_shot","螺旋魔弹","スパイラルショット"
"Spiral_shot","螺旋魔弹","スパイラルショット"
"Spitter_bolt","分裂弹","スピッターボルト"
"Spitter_bolt_with_timer","带有定时的分裂弹","タイマー付きのスピッターボルト"
"Spontaneous_Generation","自然再生","天然再生成"
"Square_barrier","方形屏障","立方バリア"
"Stable_portal","稳定传送门","安定したポータル"
"Stainless_Armour","光洁铠甲","シミがない鎧"
"steam","蒸汽","蒸気"
"steel","钢","鋼"
"Stendari","斯吞达利","ステンダリ"
"Stevari","斯特瓦里","ステヴァリ"
"Stinky_meat","发臭的肉","臭い肉"
"Strong_Levitation","强漂浮力","強い空中浮遊"
"Stronger_Hearts","更强大的心","強化心臓"
"Suhiseva_lammas","苏西瑟瓦勒马斯","スヒセヴァ・ランマス"
"sulphur","硫磺","硫黄"
"Summon_A_Dark_Sun","召唤一个黑暗太阳","闇の太陽の召喚"
"Summon_A_Sun","召唤一个太阳","太陽の召喚"
"Summon_deercoy","召唤鹿诱饵","囮のシカを召喚"
"Summon_egg","召唤蛋","卵の召喚"
"Summon_Explosive_Box","召唤炸药箱","爆発物の箱を召喚する"
"Summon_Firebug_swarm","召唤萤火虫群","ホタルの大群召喚"
"Summon_fly_swarm","召唤苍蝇群","ハエの大群召喚"
"Summon_Friendly_fly","召唤友好苍蝇","友好的なハエ召喚"
"Summon_hollow_egg","召唤空的蛋","空の卵の召喚"
"Summon_Large_Explosive_Box","召唤大号炸药箱","爆発物の箱(大)を召喚する"
"Summon_missile","召唤飞弹","ミサイル召喚"
"Summon_Missile","召唤飞弹","ミサイル召喚"
"Summon_Omega_Sawblade","召唤终结锯刃","オメガ鋸刃を召喚する"
"Summon_Platform","召唤平台","台地の召喚"
"Summon_portal","召唤传送门","ポータルの召喚"
"Summon_rock_spirit","召唤岩石精灵","岩の魂召喚"
"Summon_Sädekivi_(One-off)","召唤萨德祈唯_（一次性）","サデキヴィの召喚_（1回限り）"
"Summon_Taikasauva","召唤魔法棒","タイカサウヴァ召喚"
"Summon_Tentacle","召唤触手","触覚を召喚する"
"Summon_Tentacle_with_timer","带有定时的触手","タイマー付きの触覚を召喚する"
"Summon_Tiny_Ghost","召唤迷你幽灵","小型ゴースト召喚"
"Summon_Wall","召唤墙壁","壁の召喚"
"Summon_Wasp_swarm","召唤黄蜂群","スズメバチの大群召喚"
"Summon_Worm","召唤蠕虫","蠕虫の召喚"
"Sundering_power","分离之力","破壊的パワー"
"Sunken_cavern","沉没洞穴","沈んだ洞窟"
"Suomuhauki","苏穆豪奇","スオムハウキ"
"Supernova","超新星","超新星"
"Susi","苏细","スシ"
"Suur-Ukko","苏尔乌可","スウールウッコ"
"Suureväkäs","苏伊瓦卡斯","スーレヴァカス"
"Suurlepakko","苏勒巴可","スーレパッコ"
"Suurstendari","苏斯吞达利","スールステンダリ"
"Suurtulikärpänen","苏督利卡勒班嫩","スーツリカパネン"
"swamp","沼泽","溜池"
"Swapper","交换者","スワッパー"
"Sylkyri","西尔基里","シルキリ"
"Syväolento","塞瓦奥勒恩托","シヴァウレント"
"Tähdenpoikanen","塔登珀伊卡能","ターデンポイカネン"
"Taikasauva","台卡索瓦","タイカサウヴァ"
"Taivaankatse","代万恩卡忒斯","タイヴァーンカトセ"
"Taivaskristalli","塔伊伐克里斯塔利","タイヴァスクリスターリ"
"Tannerkivi","坦纳基维","タンネルキヴィ"
"Tappurahiisi","塔普拉西系","タップラヒーシ"
"Tappurahiisiläinen","塔普拉西系莱嫩","タップラヒーシライネン"
"Tarkkailija","塔卡伊利亚","タルカイリヤ"
"Tau","陶","タウ"
"Telekinetic_Kick","念动力踢击","念動力キック"
"Telepathic_Presence","心灵存在","テレパシーな存在"
"Telepathy","心灵感应","テレパシー"
"Teleport_bolt","传送魔弹","テレポートボルト"
"Teleport_home","回家术","ホームへテレポート"
"Teleportation","传送","テレポーテーション"
